(1, 20692)
(1, 58592)
(5, 7172)
(5, 24706)
(16, 6287)
(16, 42400)
(16, 65200)
(20, 1078)
(20, 39586)
(27, 50760)
(30, 54666)
(30, 6608)
(30, 20800)
(38, 65687)
(39, 26196)
(40, 17948)
(40, 46478)
(44, 2270)
(45, 50160)
(49, 37054)
(49, 49046)
(97, 16427)
(97, 37152)
(97, 39174)
(97, 40317)
(97, 10852)
(116, 18130)
(116, 20749)
(129, 33969)
(132, 50850)
(136, 4526)
(136, 9297)
(136, 12235)
(140, 6455)
(140, 32931)
(159, 27723)
(159, 62708)
(159, 28443)
(159, 41928)
(159, 41958)
(159, 53268)
(165, 60148)
(165, 59835)
(166, 62777)
(166, 38354)
(175, 17384)
(175, 1118)
(175, 33277)
(176, 57614)
(177, 63979)
(178, 15711)
(179, 10882)
(181, 19318)
(183, 2194)
(183, 477)
(189, 42995)
(190, 67125)
(190, 1613)
(192, 6948)
(195, 28753)
(195, 51609)
(197, 4960)
(197, 49045)
(197, 63863)
(215, 42880)
(215, 3682)
(215, 44755)
(216, 52889)
(216, 16415)
(223, 8397)
(230, 15312)
(233, 4707)
(233, 37780)
(240, 2254)
(240, 11410)
(242, 5914)
(243, 2432)
(245, 17162)
(249, 41588)
(273, 35363)
(273, 10537)
(277, 59708)
(278, 65665)
(279, 16266)
(290, 21130)
(290, 63009)
(290, 62885)
(291, 57374)
(295, 61350)
(296, 42913)
(300, 20773)
(300, 63274)
(300, 63333)
(300, 57092)
(302, 5263)
(302, 5914)
(303, 42162)
(305, 54012)
(334, 14509)
(334, 30392)
(338, 15338)
(352, 48915)
(352, 55119)
(354, 65553)
(356, 22716)
(357, 3761)
(357, 55747)
(358, 743)
(360, 9154)
(361, 38055)
(361, 6543)
(361, 24711)
(361, 25092)
(362, 51719)
(363, 4712)
(363, 10242)
(369, 19684)
(369, 27263)
(370, 67983)
(374, 19365)
(374, 61422)
(374, 17307)
(375, 57549)
(377, 1163)
(383, 40803)
(388, 26322)
(388, 38614)
(388, 52916)
(414, 65197)
(414, 1552)
(414, 5477)
(414, 39602)
(414, 14768)
(416, 51112)
(440, 66173)
(440, 52208)
(440, 35725)
(440, 22343)
(440, 53321)
(440, 49174)
(442, 40272)
(442, 28998)
(443, 67362)
(457, 46139)
(457, 21153)
(458, 49642)
(464, 67757)
(464, 15774)
(477, 1053)
(477, 1078)
(477, 29018)
(478, 1078)
(478, 29044)
(480, 8359)
(480, 21286)
(482, 8218)
(486, 10923)
(487, 8527)
(491, 27455)
(491, 12492)
(493, 27455)
(495, 65922)
(499, 41432)
(501, 57326)
(505, 17499)
(515, 58685)
(515, 63134)
(554, 21669)
(554, 47226)
(555, 1110)
(575, 7821)
(575, 20158)
(575, 26922)
(575, 53410)
(575, 51112)
(575, 29776)
(577, 52161)
(582, 12211)
(582, 14088)
(582, 66998)
(582, 62659)
(643, 29437)
(643, 31059)
(643, 45486)
(643, 66186)
(643, 66664)
(643, 67174)
(644, 44723)
(645, 46186)
(646, 4997)
(646, 3193)
(647, 5866)
(652, 43356)
(653, 25590)
(654, 52207)
(654, 61614)
(655, 60077)
(655, 4652)
(655, 38945)
(655, 47527)
(666, 17030)
(666, 42535)
(666, 26930)
(666, 39277)
(674, 53238)
(678, 23030)
(679, 31733)
(680, 12218)
(702, 11660)
(702, 21301)
(702, 22938)
(702, 27864)
(703, 50831)
(720, 12237)
(720, 19169)
(720, 57125)
(720, 68542)
(724, 64579)
(724, 64581)
(726, 4763)
(727, 60863)
(727, 10579)
(733, 15900)
(733, 65297)
(735, 36924)
